2.5e-05,0.0,-0.0,0.0,-0.0
0.099745,76.0,77.0,3.245795,3.288439
0.200819,344.0,363.0,11.64673,12.42909
0.300481,692.0,719.0,15.21029,15.55995
0.401048,1051.0,1076.0,15.66477,15.57765
0.500971,1410.0,1442.0,15.63902,15.94364
0.601216,1771.0,1812.0,15.83215,16.22718
0.70133,2127.0,2181.0,15.47271,16.037729
0.801712,2472.0,2542.0,15.08022,15.77944
0.90156,2814.0,2898.0,14.92239,15.53325
1.001766,3154.0,3253.0,14.88891,15.54593
1.101228,3495.0,3607.0,14.93554,15.50478
1.201623,3836.0,3964.0,14.90285,15.6021
1.301467,4178.0,4321.0,14.92313,15.57765
1.401841,4521.0,4681.0,14.9931,15.73636
1.501513,4863.0,5040.0,14.9203,15.6618
1.601882,5204.0,5396.0,14.94917,15.60676
1.701543,5546.0,5752.0,14.937,15.54845
1.801912,5889.0,6111.0,15.0063,15.70631
1.901945,6237.0,6471.0,15.14217,15.66416
2.001584,6581.0,6828.0,15.1495,15.72217
2.100928,6942.0,7202.0,15.00236,15.54232
2.201712,7265.0,7540.0,14.89283,15.58477
2.300813,7604.0,7893.0,14.90333,15.51881
2.401302,7947.0,8251.0,14.94916,15.6026
2.500973,8288.0,8609.0,14.90598,15.64909
2.601447,8630.0,8971.0,14.94775,15.8222
2.70122,8974.0,9332.0,15.03561,15.77865
2.80163,9321.0,9692.0,15.14766,15.71515
2.901268,9666.0,10052.0,15.07088,15.72614
3.001923,10010.0,10411.0,15.0077,15.66211
3.101699,10352.0,10770.0,14.92149,15.66336
3.20179,10693.0,11126.0,14.96102,15.61897
3.301459,11035.0,11486.0,14.94984,15.73667
3.401822,11377.0,11845.0,14.9636,15.70741
3.501495,11724.0,12205.0,15.15446,15.72237
3.601505,12070.0,12563.0,15.18024,15.70656
3.701334,12417.0,12923.0,15.11641,15.68273
3.801878,12758.0,13280.0,14.90657,15.606
3.901568,13099.0,13637.0,14.90285,15.60226
4.001941,13442.0,13995.0,14.9931,15.64878
4.107022,13786.0,14355.0,15.00845,15.70652
4.201693,14127.0,14713.0,14.97801,15.72455
4.300986,14469.0,15071.0,15.00429,15.70609
4.401743,14814.0,15431.0,15.0245,15.67805
4.50122,15156.0,15788.0,14.99121,15.64856
4.601614,15497.0,16146.0,14.89124,15.63362
4.700901,15840.0,16503.0,15.0462,15.66018
4.801707,16187.0,16864.0,15.09085,15.70002
4.901665,16531.0,17223.0,15.0266,15.68167
